Name,Price,Sale
"Crayola Classic Crayons, Assorted Colors, Back to School, 24 Count",$0.50,Rollback
"Paper Mate Profile Ballpoint Retractable Pens, Assorted Ink, Bold Tip, 8 Count",$3.97,Rollback
"Crayola Colored Pencil Set, Assorted Colors, 12 Count, School Supplies, Beginner Child",$0.97,Rollback
"Sharpie Liquid Highlighters, Chisel Tip, Assorted Colors, 5 Count",$4.97,Rollback
"Paper Mate Clearpoint Mechanical Pencils, HB #2 Lead (0.7mm), with Lead Refill Set and 2 Erasers",$4.97,Rollback
"Paper Mate InkJoy Gel Pens, Medium Point, Assorted Colors, 10 Count",$9.97,Rollback
"Crayola Classic Thin Line Marker Set, 10-Colors",$0.97,Rollback
"Crayola Ultra Clean Classic Fine Line Washable Marker, 10 Count, Child",$2.47,Rollback
"Paper Mate Flair Felt Tip Pens, Medium Point, Assorted Colors, 12 Count",$9.97,Rollback
"Paper Mate Clearpoint Mechanical Pencils, HB #2 Lead (0.5mm), with Lead Refills and 2 Erasers",$4.97,Rollback
"Cra-Z-Art Washable Crayons, 24 Count",$0.98,Rollback
"Pendaflex Slash Pocket Project Folders, Blue, 25 / Pack (Quantity)",$12.90,Reduced Price
"3 Pack 7"" Award Trophy Cups for Sports & Competitions Tournaments, 4.25 x 2.9 x 7 inches",$12.99,Reduced Price
"Kids Astronomical Telescope, Professional 20/30/40X Astronomical Landscape Telescope with Tripod, Early Science Educational Toys for Children",$22.52,Clearance
"24-Pack Mesh Zipper Pencil Pouch Document Holder for School and Office, Assorted Striped Colors",$11.99,Reduced Price
"Assorted Arts and Crafts Supplies for Kids- D.I.Y. Collage School Crafting Materials Supply Set, Craft Art Material Kit in Bulk for Kids Age 4 5 6 7 8 9 Years Old Boy Girls",$23.99,Reduced Price
"LCD Writing Tablet for Kids 8.5 Inch, Drawing Board Doodle Board Writing Pad Reusable Portable Ewriter Educational Toys, Gift for Kids Student Teacher Adults at Home, School and Office (Black)",$8.99,Reduced Price
"6-Pack Magnetic Notepad Grocery List, To Do List Shopping Note Pad Reminders for Fridge Refrigerator Magnet Memo Pad Stationery, Colorful Fruit Designs, 60 Sheets Per Pad, 3.5 x 9 inches",$11.88,Reduced Price
